Unnamed: 0,max_concurrent_tasks,aggregation_queries_count,id,total_queries_count,ts_submit,ts_submit_dt,elapsed_time,scaled_elapsed_time,ts_submit_dt2
82,1,1,6112249665220454633,1,1159573510716,2006-09-29 23:45:10.716,10 days 01:07:16,0 days 00:04:31.808453268,2006-09-19 22:42:26.524453268
83,5,2,-1533332587414356428,6,1159574743716,2006-09-30 00:05:43.716,10 days 01:27:49,0 days 00:04:32.194543041,2006-09-19 22:42:26.910543041
84,116,5,-7443043682327014889,235,1159576364716,2006-09-30 00:32:44.716,10 days 01:54:50,0 days 00:04:32.702127407,2006-09-19 22:42:27.418127407
85,1,1,5404420825321495086,2,1159578773716,2006-09-30 01:12:53.716,10 days 02:34:59,0 days 00:04:33.456458523,2006-09-19 22:42:28.172458523
86,8,2,-3315667844960556965,10,1159578982716,2006-09-30 01:16:22.716,10 days 02:38:28,0 days 00:04:33.521902775,2006-09-19 22:42:28.237902775
87,1,1,6879022927290752821,1,1159579756716,2006-09-30 01:29:16.716,10 days 02:51:22,0 days 00:04:33.764265698,2006-09-19 22:42:28.480265698
88,19,5,9017185638089109264,39,1159581133716,2006-09-30 01:52:13.716,10 days 03:14:19,0 days 00:04:34.195446249,2006-09-19 22:42:28.911446249
89,19,3,-6765734748809870101,41,1159811059716,2006-10-02 17:44:19.716,12 days 19:06:25,0 days 00:05:46.192264844,2006-09-19 22:43:40.908264844
90,170,2,-6574956532886407309,171,1159811515716,2006-10-02 17:51:55.716,12 days 19:14:01,0 days 00:05:46.335052303,2006-09-19 22:43:41.051052303
91,1,1,2589068806572891623,1,1159815549716,2006-10-02 18:59:09.716,12 days 20:21:15,0 days 00:05:47.598220306,2006-09-19 22:43:42.314220306
92,19,3,-1434689819868840006,41,1159815654716,2006-10-02 19:00:54.716,12 days 20:23:00,0 days 00:05:47.631098997,2006-09-19 22:43:42.347098997
93,1,1,-8648339093164765855,1,1159815836716,2006-10-02 19:03:56.716,12 days 20:26:02,0 days 00:05:47.688088728,2006-09-19 22:43:42.404088728
94,1,2,-3037398656289017786,2,1159816208716,2006-10-02 19:10:08.716,12 days 20:32:14,0 days 00:05:47.804573234,2006-09-19 22:43:42.520573234
95,1,2,-701439672127519616,2,1159816592716,2006-10-02 19:16:32.716,12 days 20:38:38,0 days 00:05:47.924815305,2006-09-19 22:43:42.640815305
96,1,2,-1772401964030329375,2,1159816924716,2006-10-02 19:22:04.716,12 days 20:44:10,0 days 00:05:48.028774595,2006-09-19 22:43:42.744774595
97,1,1,-8047174409839248034,1,1159817259716,2006-10-02 19:27:39.716,12 days 20:49:45,0 days 00:05:48.133673276,2006-09-19 22:43:42.849673276
98,1,1,-6052773747240029252,1,1159817433716,2006-10-02 19:30:33.716,12 days 20:52:39,0 days 00:05:48.188157965,2006-09-19 22:43:42.904157965
99,205,2,5553572771195784869,206,1159818473716,2006-10-02 19:47:53.716,12 days 21:09:59,0 days 00:05:48.513813573,2006-09-19 22:43:43.229813573
100,1,2,4074282200881679284,2,1159819830716,2006-10-02 20:10:30.716,12 days 21:32:36,0 days 00:05:48.938731515,2006-09-19 22:43:43.654731515
101,1,2,8211076381917496996,2,1159820002716,2006-10-02 20:13:22.716,12 days 21:35:28,0 days 00:05:48.992589943,2006-09-19 22:43:43.708589943
102,1,2,3609773976749186020,2,1159820214716,2006-10-02 20:16:54.716,12 days 21:39:00,0 days 00:05:49.058973586,2006-09-19 22:43:43.774973586
103,1,1,8519711504225543775,1,1159820627716,2006-10-02 20:23:47.716,12 days 21:45:53,0 days 00:05:49.188296438,2006-09-19 22:43:43.904296438
104,1,1,8948880739823841358,1,1159832513716,2006-10-02 23:41:53.716,13 days 01:03:59,0 days 00:05:52.910164282,2006-09-19 22:43:47.626164282
105,1,1,-1480531988454872859,2,1159837754716,2006-10-03 01:09:14.716,13 days 02:31:20,0 days 00:05:54.551280668,2006-09-19 22:43:49.267280668
