Unnamed: 0;max_concurrent_tasks;aggregation_queries_count;total_queries_count;ts_submit;ts_submit_dt;ts_submit_dt2;standard_queries_count;first_name_queries_count;last_name_queries_count;country_queries_count;other_queries_count
89;1;30;410;1159811059716;2006-10-02 17:44:19.716;2006-09-19 22:43:40.908264844;380;110;95;95;80
90;6;20;1710;1159811515716;2006-10-02 17:51:55.716;2006-09-19 22:43:41.051052303;1690;543;403;409;335
91;1;10;10;1159815549716;2006-10-02 18:59:09.716;2006-09-19 22:43:42.314220306;0;0;0;0;0
92;1;30;410;1159815654716;2006-10-02 19:00:54.716;2006-09-19 22:43:42.347098997;380;125;91;91;73
93;1;10;10;1159815836716;2006-10-02 19:03:56.716;2006-09-19 22:43:42.404088728;0;0;0;0;0
94;1;20;20;1159816208716;2006-10-02 19:10:08.716;2006-09-19 22:43:42.520573234;0;0;0;0;0
95;1;20;20;1159816592716;2006-10-02 19:16:32.716;2006-09-19 22:43:42.640815305;0;0;0;0;0
96;1;20;20;1159816924716;2006-10-02 19:22:04.716;2006-09-19 22:43:42.744774595;0;0;0;0;0
97;1;10;10;1159817259716;2006-10-02 19:27:39.716;2006-09-19 22:43:42.849673276;0;0;0;0;0
98;1;10;10;1159817433716;2006-10-02 19:30:33.716;2006-09-19 22:43:42.904157965;0;0;0;0;0
99;7;20;2060;1159818473716;2006-10-02 19:47:53.716;2006-09-19 22:43:43.229813573;2040;409;510;510;611
100;1;20;20;1159819830716;2006-10-02 20:10:30.716;2006-09-19 22:43:43.654731515;0;0;0;0;0
101;1;20;20;1159820002716;2006-10-02 20:13:22.716;2006-09-19 22:43:43.708589943;0;0;0;0;0
102;1;20;20;1159820214716;2006-10-02 20:16:54.716;2006-09-19 22:43:43.774973586;0;0;0;0;0
103;1;10;10;1159820627716;2006-10-02 20:23:47.716;2006-09-19 22:43:43.904296438;0;0;0;0;0
104;1;10;10;1159832513716;2006-10-02 23:41:53.716;2006-09-19 22:43:47.626164282;0;0;0;0;0
105;1;10;20;1159837754716;2006-10-03 01:09:14.716;2006-09-19 22:43:49.267280668;10;3;2;2;3
106;1;10;10;1159840320716;2006-10-03 01:52:00.716;2006-09-19 22:43:50.070773255;0;0;0;0;0
107;1;10;10;1159840428716;2006-10-03 01:53:48.716;2006-09-19 22:43:50.104591337;0;0;0;0;0
108;1;10;10;1159841885716;2006-10-03 02:18:05.716;2006-09-19 22:43:50.560822319;0;0;0;0;0
109;1;10;10;1159842665716;2006-10-03 02:31:05.716;2006-09-19 22:43:50.805064025;0;0;0;0;0
110;1;10;10;1159904979716;2006-10-03 19:49:39.716;2006-09-19 22:44:10.317471295;0;0;0;0;0
111;1;20;20;1159907163716;2006-10-03 20:26:03.716;2006-09-19 22:44:11.001348072;0;0;0;0;0
112;1;20;20;1159907592716;2006-10-03 20:33:12.716;2006-09-19 22:44:11.135681010;0;0;0;0;0
113;1;10;10;1159909127716;2006-10-03 20:58:47.716;2006-09-19 22:44:11.616336162;0;0;0;0;0
114;1;10;10;1159909327716;2006-10-03 21:02:07.716;2006-09-19 22:44:11.678962241;0;0;0;0;0
115;1;20;20;1159910044716;2006-10-03 21:14:04.716;2006-09-19 22:44:11.903476732;0;0;0;0;0
116;1;10;10;1159912187716;2006-10-03 21:49:47.716;2006-09-19 22:44:12.574515163;0;0;0;0;0
117;1;10;10;1159912770716;2006-10-03 21:59:30.716;2006-09-19 22:44:12.757070182;0;0;0;0;0
118;1;10;10;1159915296716;2006-10-03 22:41:36.716;2006-09-19 22:44:13.548037553;0;0;0;0;0
119;3;20;810;1159916135716;2006-10-03 22:55:35.716;2006-09-19 22:44:13.810753952;790;291;197;185;117
120;1;10;10;1159918173716;2006-10-03 23:29:33.716;2006-09-19 22:44:14.448913692;0;0;0;0;0
121;3;20;790;1159919683716;2006-10-03 23:54:43.716;2006-09-19 22:44:14.921740584;770;157;192;192;229
122;1;10;10;1159921566716;2006-10-04 00:26:06.716;2006-09-19 22:44:15.511365113;0;0;0;0;0
123;1;10;10;1159922942716;2006-10-04 00:49:02.716;2006-09-19 22:44:15.942232533;0;0;0;0;0
124;1;10;10;1159923251716;2006-10-04 00:54:11.716;2006-09-19 22:44:16.038989824;0;0;0;0;0
125;1;10;10;1159925165716;2006-10-04 01:26:05.716;2006-09-19 22:44:16.638321395;0;0;0;0;0
126;1;10;10;1159925240716;2006-10-04 01:27:20.716;2006-09-19 22:44:16.661806175;0;0;0;0;0
127;1;10;10;1159925790716;2006-10-04 01:36:30.716;2006-09-19 22:44:16.834027890;0;0;0;0;0
128;1;10;10;1159940496716;2006-10-04 05:41:36.716;2006-09-19 22:44:21.438923441;0;0;0;0;0
129;1;10;20;1159941362716;2006-10-04 05:56:02.716;2006-09-19 22:44:21.710094360;10;3;2;2;3
130;1;10;10;1159985916716;2006-10-04 18:18:36.716;2006-09-19 22:44:35.661305862;0;0;0;0;0
131;1;10;10;1159987291716;2006-10-04 18:41:31.716;2006-09-19 22:44:36.091860151;0;0;0;0;0
132;1;30;40;1159987647716;2006-10-04 18:47:27.716;2006-09-19 22:44:36.203334571;10;2;2;2;4
133;1;30;40;1159988156716;2006-10-04 18:55:56.716;2006-09-19 22:44:36.362717941;10;4;2;2;2
134;1;10;10;1159988953716;2006-10-04 19:09:13.716;2006-09-19 22:44:36.612282863;0;0;0;0;0
135;1;50;110;1159989135716;2006-10-04 19:12:15.716;2006-09-19 22:44:36.669272595;60;29;13;7;11
136;1;40;110;1159989875716;2006-10-04 19:24:35.716;2006-09-19 22:44:36.900989085;70;23;17;17;13
137;1;50;110;1159990360716;2006-10-04 19:32:40.716;2006-09-19 22:44:37.052857325;60;25;14;15;6
138;1;10;50;1159992590716;2006-10-04 20:09:50.716;2006-09-19 22:44:37.751138100;40;15;8;9;8
139;1;10;10;1159994002716;2006-10-04 20:33:22.716;2006-09-19 22:44:38.193278214;0;0;0;0;0
140;1;10;10;1159994814716;2006-10-04 20:46:54.716;2006-09-19 22:44:38.447540093;0;0;0;0;0
141;1;50;110;1159996566716;2006-10-04 21:16:06.716;2006-09-19 22:44:38.996144540;60;19;14;15;12
142;1;50;50;1159997468716;2006-10-04 21:31:08.716;2006-09-19 22:44:39.278588154;0;0;0;0;0
143;1;50;110;1160000161716;2006-10-04 22:16:01.716;2006-09-19 22:44:40.121848301;60;27;7;14;12
144;1;50;50;1160000426716;2006-10-04 22:20:26.716;2006-09-19 22:44:40.204827855;0;0;0;0;0
145;1;100;220;1160000499716;2006-10-04 22:21:39.716;2006-09-19 22:44:40.227686374;120;47;28;29;16
146;1;10;10;1160000709716;2006-10-04 22:25:09.716;2006-09-19 22:44:40.293443756;0;0;0;0;0
147;1;50;110;1160000859716;2006-10-04 22:27:39.716;2006-09-19 22:44:40.340413315;60;24;9;15;12
148;1;10;10;1160001258716;2006-10-04 22:34:18.716;2006-09-19 22:44:40.465352341;0;0;0;0;0
149;1;10;10;1160001538716;2006-10-04 22:38:58.716;2006-09-19 22:44:40.553028851;0;0;0;0;0
150;1;10;10;1160001579716;2006-10-04 22:39:39.716;2006-09-19 22:44:40.565867197;0;0;0;0;0
151;1;10;10;1160001632716;2006-10-04 22:40:32.716;2006-09-19 22:44:40.582463108;0;0;0;0;0
152;1;10;10;1160002910716;2006-10-04 23:01:50.716;2006-09-19 22:44:40.982643750;0;0;0;0;0
153;1;50;110;1160003343716;2006-10-04 23:09:03.716;2006-09-19 22:44:41.118229210;60;26;7;15;12
154;1;10;10;1160003787716;2006-10-04 23:16:27.716;2006-09-19 22:44:41.257259104;0;0;0;0;0
155;1;10;10;1160005190716;2006-10-04 23:39:50.716;2006-09-19 22:44:41.696581044;0;0;0;0;0
156;1;10;10;1160005493716;2006-10-04 23:44:53.716;2006-09-19 22:44:41.791459553;0;0;0;0;0
157;1;10;10;1160005596716;2006-10-04 23:46:36.716;2006-09-19 22:44:41.823711984;0;0;0;0;0
158;1;10;20;1160008462716;2006-10-05 00:34:22.716;2006-09-19 22:44:42.721143688;10;2;2;2;4
159;1;10;10;1160010287716;2006-10-05 01:04:47.716;2006-09-19 22:44:43.292606654;0;0;0;0;0
160;1;10;10;1160010372716;2006-10-05 01:06:12.716;2006-09-19 22:44:43.319222737;0;0;0;0;0
161;1;50;110;1160010946716;2006-10-05 01:15:46.716;2006-09-19 22:44:43.498959583;60;18;15;15;12
162;1;10;10;1160011188716;2006-10-05 01:19:48.716;2006-09-19 22:44:43.574737138;0;0;0;0;0
163;1;10;10;1160011874716;2006-10-05 01:31:14.716;2006-09-19 22:44:43.789544587;0;0;0;0;0
164;1;10;10;1160012502716;2006-10-05 01:41:42.716;2006-09-19 22:44:43.986190473;0;0;0;0;0
